epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,793.35,1.49645,1.52057,1.09456,0.79193,0.4166,0.492,0.23566,1.97558,2.62243,1.31344,0.0004654,0.0004654,0.0004654
56,810.739,1.48825,1.5001,1.1063,0.79823,0.39612,0.48404,0.24887,2.0522,2.6037,1.36498,0.0004555,0.0004555,0.0004555
57,828.145,1.46864,1.50422,1.08364,0.79823,0.39612,0.48404,0.24887,2.0522,2.6037,1.36498,0.0004456,0.0004456,0.0004456
58,845.506,1.33921,1.42722,1.09015,0.74792,0.44312,0.511,0.28821,2.01455,2.51005,1.36903,0.0004357,0.0004357,0.0004357
59,862.815,1.49341,1.61712,1.12711,0.74792,0.44312,0.511,0.28821,2.01455,2.51005,1.36903,0.0004258,0.0004258,0.0004258
60,880.815,1.50597,1.55094,1.08958,0.74862,0.4709,0.56246,0.31341,1.99889,2.40331,1.3492,0.0004159,0.0004159,0.0004159
61,898.415,1.49604,1.44969,1.12365,0.74862,0.4709,0.56246,0.31341,1.99889,2.40331,1.3492,0.000406,0.000406,0.000406
62,915.977,1.40597,1.45528,1.08387,0.68958,0.53769,0.52333,0.28918,2.00645,2.33198,1.34686,0.0003961,0.0003961,0.0003961
63,934.538,1.39837,1.44502,1.11498,0.68958,0.53769,0.52333,0.28918,2.00645,2.33198,1.34686,0.0003862,0.0003862,0.0003862
64,952.228,1.34937,1.38271,1.04712,0.74597,0.55376,0.5618,0.28475,2.03224,2.32697,1.35424,0.0003763,0.0003763,0.0003763
65,968.331,1.43021,1.50208,1.11645,0.74597,0.55376,0.5618,0.28475,2.03224,2.32697,1.35424,0.0003664,0.0003664,0.0003664
66,984.533,1.3621,1.51251,1.06654,0.74553,0.55414,0.56686,0.27702,1.98872,2.27349,1.34138,0.0003565,0.0003565,0.0003565
67,1000.01,1.4272,1.42619,1.05642,0.74553,0.55414,0.56686,0.27702,1.98872,2.27349,1.34138,0.0003466,0.0003466,0.0003466
68,1016.01,1.46661,1.4123,1.09907,0.68286,0.5709,0.56989,0.27532,1.91489,2.14361,1.32023,0.0003367,0.0003367,0.0003367
69,1032.6,1.42354,1.3922,1.08972,0.68286,0.5709,0.56989,0.27532,1.91489,2.14361,1.32023,0.0003268,0.0003268,0.0003268
70,1049.76,1.45476,1.48621,1.12066,0.72126,0.58737,0.58915,0.28972,1.84555,2.04323,1.2983,0.0003169,0.0003169,0.0003169
